"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Kitl",1.7426741972491e-05,-2.13483695087279,0.323,0.533,0.206489465632045,"Med.A1","Kitl"
"Ncam2",1.74851065397082e-05,0.373891779372669,1,0.965,0.207181027389003,"Med.A1","Ncam2"
"Fam19a5",1.81240837301766e-05,-0.490154047085448,0.581,0.812,0.214752268118863,"Med.A1","Fam19a5"
"Unc80",2.08935841263354e-05,-0.328646751419273,0.984,0.996,0.247568078312948,"Med.A1","Unc80"
"Lepr",2.09252631720461e-05,1.0286087429001,0.613,0.372,0.247943443325574,"Med.A1","Lepr"
"Onecut2",2.22842945968819e-05,-2.0947907738077,0.113,0.369,0.264046606678454,"Med.A1","Onecut2"
"Scg2",2.24345863199163e-05,-1.38768313108647,0.339,0.556,0.265827413304688,"Med.A1","Scg2"
"Prkcb",2.30909357713904e-05,-0.320098273120431,0.903,0.972,0.273604497955205,"Med.A1","Prkcb"
"Rimbp2",2.71858785937698e-05,-0.575181640287732,0.758,0.878,0.322125475457578,"Med.A1","Rimbp2"
"Ulk4",2.79798892039947e-05,-0.861684862231221,0.645,0.825,0.331533707178133,"Med.A1","Ulk4"
"ENSMUSG00000062949",2.7981504257993e-05,-0.624373833875325,0.548,0.767,0.33155284395296,"Med.A1","ENSMUSG00000062949"
"Cnr1",2.82824299874962e-05,-3.59360349015816,0.016,0.245,0.335118512921842,"Med.A1","Cnr1"
"Srrm1",2.9753151549374e-05,-0.55404564673933,0.694,0.855,0.352545092708532,"Med.A1","Srrm1"
"Ppil2",3.04393062974632e-05,-0.881144588136853,0.387,0.62,0.360675340318641,"Med.A1","Ppil2"
"Cdk14",3.09929038300325e-05,-0.365274998804417,0.984,0.97,0.367234917482055,"Med.A1","Cdk14"
"Tshz2",3.20030415124944e-05,-0.952508250618715,0.371,0.595,0.379204038881546,"Med.A1","Tshz2"
"Cpne4",3.37315440985698e-05,-4.33894076370151,0.548,0.675,0.399685066023953,"Med.A1","Cpne4"
"Ppp1r1c",3.37564537500699e-05,-3.31696169362759,0.016,0.245,0.399980220484578,"Med.A1","Ppp1r1c"
"Dgki",3.47113474993934e-05,-0.368383994243818,0.968,0.992,0.411294756520313,"Med.A1","Dgki"
"Fgfr1op",3.49875133676904e-05,-0.673901352941698,0.371,0.633,0.414567045893763,"Med.A1","Fgfr1op"
"Slc24a3",3.54784665656876e-05,0.546203893554646,0.919,0.776,0.420384350336832,"Med.A1","Slc24a3"
"Chpf2",3.80353381979367e-05,-3.16957840882829,0.065,0.296,0.450680722307352,"Med.A1","Chpf2"
"Rap1gds1",4.0654105859032e-05,-0.533076048310498,0.758,0.903,0.48171050032367,"Med.A1","Rap1gds1"
"Snca",4.15154357607481e-05,0.935757867532559,0.5,0.268,0.491916398329104,"Med.A1","Snca"
"Sipa1l1",4.29209803102859e-05,-0.607093409560884,0.871,0.945,0.508570695696577,"Med.A1","Sipa1l1"
"Ryr3",4.50641026384538e-05,0.466829975720063,1,0.952,0.533964552163039,"Med.A1","Ryr3"
"Fgf9",4.6397412901932e-05,-0.792784165332995,0.435,0.676,0.549762945474992,"Med.A1","Fgf9"
"Atp6v1h",4.67006510385698e-05,-0.49561708376619,0.855,0.941,0.553356014156014,"Med.A1","Atp6v1h"
"Arpp21",4.67625866936899e-05,-0.488803030076093,0.871,0.924,0.554089889733532,"Med.A1","Arpp21"
"Zfp804a",4.83997396522501e-05,-0.436074693300322,0.935,0.965,0.573488515139511,"Med.A1","Zfp804a"
"Hs6st3",4.88026020333299e-05,-0.966548480682786,0.774,0.87,0.578262031492926,"Med.A1","Hs6st3"
"Grip2",5.22904329593075e-05,-0.825070801260845,0.403,0.607,0.619589340134835,"Med.A1","Grip2"
"Nr2f2",5.30062818184213e-05,-2.80831015839588,0,0.213,0.628071433266474,"Med.A1","Nr2f2"
"Cdh6",5.40497356460184e-05,0.78307091571632,0.79,0.572,0.640435317669672,"Med.A1","Cdh6"
"Psmd2",5.82396722344032e-05,-0.261776153757711,0.371,0.616,0.690081876305443,"Med.A1","Psmd2"
"Acan",5.82775779731715e-05,-1.40863069220704,0.145,0.398,0.69053102140411,"Med.A1","Acan"
"Rapgef5",6.07617403740892e-05,-0.699572067716708,0.532,0.739,0.719965861692583,"Med.A1","Rapgef5"
"Taf3",6.13199986875188e-05,-0.869350992869073,0.435,0.694,0.726580664448411,"Med.A1","Taf3"
"Nck2",6.23926512167052e-05,-0.43051981235494,0.274,0.56,0.73929052426674,"Med.A1","Nck2"
"Npsr1",6.51363675949665e-05,2.37182107472944,0.613,0.403,0.771800819632758,"Med.A1","Npsr1"
"Abcc4",6.55775513014707e-05,-0.870350162026102,0.532,0.711,0.777028405371126,"Med.A1","Abcc4"
"Akap10",6.69832197789626e-05,-0.62525889260194,0.694,0.793,0.793684171160927,"Med.A1","Akap10"
"Nts",6.87044349858126e-05,1.17034177498742,0.129,0.033,0.814078850146893,"Med.A1","Nts"
"1190002N15Rik",7.09260240784284e-05,-3.04023230127325,0.032,0.248,0.840402459305298,"Med.A1","1190002N15Rik"
"Eno2",7.15382305727052e-05,-0.466647234089498,0.629,0.821,0.847656494055984,"Med.A1","Eno2"
"AF529169",8.00830835913775e-05,0.926080320478924,0.5,0.312,0.948904457474232,"Med.A1","AF529169"
"Cdr2l",8.02094956588321e-05,-0.657331209661656,0.21,0.489,0.950402314061501,"Med.A1","Cdr2l"
"Fam110b",8.03336354368298e-05,-0.567027967328792,0.742,0.858,0.951873246290997,"Med.A1","Fam110b"
"Sept6",8.06687081716091e-05,-0.84477697843634,0.371,0.613,0.955843523125397,"Med.A1","Sept6"
"Nrp1",8.38103197499751e-05,-0.817968931469243,0.29,0.537,0.993068478717455,"Med.A1","Nrp1"
"Grsf1",8.66397802563576e-05,-0.867661587949711,0.339,0.584,1,"Med.A1","Grsf1"
"Clk4",8.95425391545814e-05,-0.605745013638511,0.694,0.853,1,"Med.A1","Clk4"
"Nars",8.97701902722786e-05,-0.512440091630391,0.661,0.837,1,"Med.A1","Nars"
"Atp10a",9.65140374727534e-05,0.337733876057129,0.694,0.468,1,"Med.A1","Atp10a"
"Nap1l1",9.92611630547427e-05,-1.37436509245742,0.306,0.527,1,"Med.A1","Nap1l1"
"Lrmda",9.99051326824166e-05,-0.542169207691172,0.726,0.833,1,"Med.A1","Lrmda"
"Cab39",0.00010033839868821,-0.909873809239315,0.597,0.744,1,"Med.A1","Cab39"
"Syt16",0.000106704797615368,0.905490735314972,0.629,0.438,1,"Med.A1","Syt16"
"Syt13",0.000108274975034609,0.947637205327207,0.613,0.424,1,"Med.A1","Syt13"
"Mtpn",0.000108834534346619,-0.676167102209138,0.177,0.437,1,"Med.A1","Mtpn"
"Trim46",0.000113062913524983,-2.5139624735281,0.161,0.376,1,"Med.A1","Trim46"
"Dgkg",0.000114604833393095,0.850785495722196,0.806,0.737,1,"Med.A1","Dgkg"
"Aurkaip1",0.000120018668619401,-2.76978883892561,0.048,0.259,1,"Med.A1","Aurkaip1"
"Fnbp1l",0.000126759096618302,0.74949968220782,0.5,0.274,1,"Med.A1","Fnbp1l"
"Gas6",0.000130029129726128,-0.785224559001021,0.484,0.695,1,"Med.A1","Gas6"
"Ssbp2",0.000133489594241767,-0.301323500738769,0.871,0.963,1,"Med.A1","Ssbp2"
"Rcan2",0.00013907497853499,-0.333758131882869,0.887,0.974,1,"Med.A1","Rcan2"
"Dock9",0.00015409475937822,-0.404196333519188,0.903,0.956,1,"Med.A1","Dock9"
"Phlda1",0.000157508784460508,-2.63496203063285,0.016,0.213,1,"Med.A1","Phlda1"
"ENSMUSG00000029673",0.000158578634206643,0.338346857400829,1,0.991,1,"Med.A1","ENSMUSG00000029673"
"Msi2",0.000163330574350032,-0.28900328128407,0.984,0.999,1,"Med.A1","Msi2"
"Armc9",0.000164583068420023,-0.656506615940142,0.581,0.758,1,"Med.A1","Armc9"
"Wasf3",0.000166654784474271,-0.574286318740105,0.548,0.734,1,"Med.A1","Wasf3"
"Fyn",0.00016850580557015,-0.616453866650733,0.548,0.766,1,"Med.A1","Fyn"
"Usp13",0.000176141750070662,-0.550970030167579,0.629,0.812,1,"Med.A1","Usp13"
"Tnrc6c",0.000182034332502672,-0.558061056227374,0.871,0.947,1,"Med.A1","Tnrc6c"
"Mcoln1",0.000183768952695831,-0.580782539199257,0.194,0.45,1,"Med.A1","Mcoln1"
"Psmd3",0.000192060022501116,-0.663299678493939,0.242,0.518,1,"Med.A1","Psmd3"
"Atr",0.000196940339988403,-0.440495543929858,0.403,0.657,1,"Med.A1","Atr"
"Susd4",0.000197397476714333,-0.456599049045249,0.677,0.825,1,"Med.A1","Susd4"
"Myh10",0.000198846667860188,-0.463798246686338,0.79,0.878,1,"Med.A1","Myh10"
"Glra1",0.000208838527655153,-0.338938910136455,0.242,0.464,1,"Med.A1","Glra1"
"Stx18",0.000212672735626894,-0.509926917801233,0.694,0.795,1,"Med.A1","Stx18"
