"","RNA.Lat.B1","RNA.IntP.A1","RNA.IntP.B1","RNA.IntP.B2","RNA.IntA.B1","RNA.IntA.B2"
"4931406C07Rik",10.7915705839231,13.6742465912223,6.31217472758685,8.95843676778385,5.29580626662641,1.05155589680435
"Cep63",85.7965638833829,128.65006912046,97.9098364373483,98.3920606356885,97.0833600660547,120.76483160865
"Srpr",7.26710760830718,30.8557386453263,17.8176871522614,3.06377252449913,14.3288382578728,4.62509782117269
"Otop3",0.168498776831919,0.0438018190113622,1.21554404076446,0.113357017885925,0.0953650284333565,0.398070017321304
"Ewsr1",88.1295353213848,99.6151269827628,82.6856152022183,116.689505724794,164.106641197482,166.861287612097
"Gjc1",8.71136345334536,1.65053769100624,3.13140742851953,39.0036870745459,1.53119728265149,5.48789398607493
"Sox1",1.6142751070366,0,3.21435872614821,0.0296436161464746,0.180597332619823,0
"Cnot10",36.6222150827069,26.4126183591389,39.6850129999155,47.4384396656959,31.6610606739166,30.1045544708336
"Mta1",3.53315760404431,4.42287615070411,8.19811770306506,3.19021796168698,4.15916982360902,3.71258134988423
"Cadm1",409.954831343577,437.805947983309,412.640269615693,467.169380158526,430.125721325245,280.53664759782
"Spns2",36.898440020355,51.5061477221482,35.3566062511027,25.4367498805911,23.2583855519116,22.3810483327125
"Slc8a1",167.680748554359,951.936295821379,581.065834627861,542.791886250014,195.31813510066,282.519111604308
"Slc25a21",17.7462965165475,16.2989557442674,28.0210803453123,76.5984057476324,16.7711234681137,36.4815160421812
"Otop2",0.0810093058551518,0.0335317742826595,0.167954675311946,0,0.123171389609612,0
"Pcp4",196.983493435453,154.896421302576,94.6090486600018,66.8599548087086,157.196575528417,52.9449427184562
"Abat",113.137574672981,92.3814225160063,101.0348792118,129.184930078956,103.876195707548,151.000876450338
"Slc25a10",1.40299989966968,2.34069702184323,2.34750043263392,5.39214505965416,0.987047433303695,0.855349718285819
"Camk1d",268.856425894966,186.219239842193,114.09381967446,212.912837121587,259.775759807963,280.130712184956
