"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Slc7a8.3",4.6794383819972e-06,-0.502432365479725,0.35,0.503,0.251739746636303,"ex_5","Slc7a8"
"Metap1.1",4.73311615540792e-06,-0.315414533494379,0.225,0.418,0.25462744981248,"ex_5","Metap1"
"Actn1.1",4.75553182874034e-06,0.918946825974752,0.681,0.502,0.255833345790744,"ex_5","Actn1"
"Epb41l4a.5",4.77648448895462e-06,-0.511847159475812,0.506,0.671,0.256960536052292,"ex_5","Epb41l4a"
"Cyp11a1.4",4.79722979953226e-06,-0.900489368467602,0.288,0.465,0.258076571525437,"ex_5","Cyp11a1"
"Gm28905.2",4.88534419517168e-06,1.00617175011497,0.662,0.616,0.262816861667651,"ex_5","Gm28905"
"Grik1.3",4.92789442408734e-06,0.708851216846293,0.744,0.706,0.265105936332627,"ex_5","Grik1"
"Gm43174.2",4.94844793503402e-06,-0.262774375407434,0.119,0.298,0.266211653561025,"ex_5","Gm43174"
"Ccdc91.1",4.96208471774201e-06,-0.402944028252712,0.362,0.551,0.266945271560367,"ex_5","Ccdc91"
"Hes1.2",4.99854878228504e-06,-0.835822478571175,0.075,0.237,0.268906928840588,"ex_5","Hes1"
"Cep164.4",5.02372874631489e-06,-0.357303486784724,0.481,0.678,0.270261535365502,"ex_5","Cep164"
"Gm4349.2",5.05990406169493e-06,-0.969380459164381,0.075,0.228,0.272207658807002,"ex_5","Gm4349"
"Camk2a.7",5.0657576663173e-06,0.719938720554189,0.706,0.567,0.272522565174872,"ex_5","Camk2a"
"Mppe1.2",5.12265265041349e-06,-0.30329020256506,0.431,0.641,0.275583344634294,"ex_5","Mppe1"
"Fam185a.1",5.14913744874462e-06,-0.303626063523053,0.306,0.485,0.277008147330115,"ex_5","Fam185a"
"4430402I18Rik.1",5.16289582643646e-06,-1.20321363001189,0.069,0.224,0.277748306774802,"ex_5","4430402I18Rik"
"Ammecr1.1",5.21661971815461e-06,1.02407624157548,0.594,0.485,0.280638490977563,"ex_5","Ammecr1"
"Arcn1",5.40864788812598e-06,-0.409722635642427,0.5,0.652,0.290969030437513,"ex_5","Arcn1"
"ENSMUSG00000022358.3",5.44480245270804e-06,-0.826180662073448,0.081,0.24,0.292914037548335,"ex_5","ENSMUSG00000022358"
"Eif2ak2.4",5.51339601941956e-06,-1.52619875329468,0.062,0.21,0.296604165656714,"ex_5","Eif2ak2"
"Zfp346.1",5.56560981452067e-06,-0.321935727831321,0.45,0.658,0.299413111191768,"ex_5","Zfp346"
"Spx.2",5.58623202671909e-06,-0.458027072673644,0.069,0.229,0.300522524341407,"ex_5","Spx"
"Acbd5",5.60049465993357e-06,-0.369478426863601,0.519,0.709,0.301289811220446,"ex_5","Acbd5"
"Zyg11b",5.6266899827325e-06,-0.295976611919638,0.725,0.868,0.30269904100106,"ex_5","Zyg11b"
"Cr1l",5.64845739802261e-06,-0.618117616494398,0.112,0.282,0.303870062641423,"ex_5","Cr1l"
"Gfra1.5",5.79973960258566e-06,0.882235655856583,0.556,0.404,0.312008591400301,"ex_5","Gfra1"
"Adam32.1",5.87997264710747e-06,-0.544528710558023,0.206,0.388,0.316324888496441,"ex_5","Adam32"
"Gm3468",5.8968587755881e-06,-0.677168020260641,0.138,0.315,0.317233311550313,"ex_5","Gm3468"
"Chd2",5.92920705949465e-06,-0.27141378256108,0.856,0.949,0.318973552179634,"ex_5","Chd2"
"Soat1.2",5.96534555683738e-06,-0.599263574173057,0.212,0.395,0.320917694921181,"ex_5","Soat1"
"Mro",6.1181431076205e-06,-1.28984644883737,0.062,0.208,0.32913774476066,"ex_5","Mro"
"Gm30382.7",6.14916360362486e-06,-0.334053134282281,0.375,0.568,0.330806554384206,"ex_5","Gm30382"
"Cgn.2",6.17287962496118e-06,0.806987991383059,0.244,0.123,0.332082405184037,"ex_5","Cgn"
"Bclaf3",6.17660384636296e-06,-0.500281436072318,0.456,0.612,0.332282757122788,"ex_5","Bclaf3"
"Efr3b.2",6.22526529488149e-06,-0.305187198375587,0.888,0.943,0.334900597068739,"ex_5","Efr3b"
"Zkscan16.1",6.24016487614153e-06,1.28322331353779,0.306,0.172,0.335702149841786,"ex_5","Zkscan16"
"Slc25a36",6.28975578547478e-06,-0.285767440041927,0.788,0.92,0.338369991991187,"ex_5","Slc25a36"
"Cacna2d1.8",6.32509428864554e-06,0.29520827795761,0.944,0.874,0.340271097446264,"ex_5","Cacna2d1"
"Hcrtr1.1",6.33252581447382e-06,1.30685754057031,0.125,0.045,0.340670891241248,"ex_5","Hcrtr1"
"Tiparp.1",6.38997089160303e-06,-0.4011685410791,0.081,0.244,0.343761264055568,"ex_5","Tiparp"
"Plcxd2.2",6.39359272939958e-06,-0.636557262399987,0.306,0.493,0.343956108063509,"ex_5","Plcxd2"
"Atf1.1",6.39467448191684e-06,-0.348158070861694,0.256,0.438,0.34401430310368,"ex_5","Atf1"
"Bend7.3",6.40189807919273e-06,-0.57154725095693,0.238,0.415,0.344402910966331,"ex_5","Bend7"
"Pianp",6.40307016902614e-06,0.989663229745436,0.406,0.265,0.344465965883099,"ex_5","Pianp"
"Ski.3",6.41222374897541e-06,-0.257888938002717,0.281,0.492,0.34495840102363,"ex_5","Ski"
"Afm.2",6.41274726158189e-06,0.328847003932648,0.988,0.969,0.344986564431321,"ex_5","Afm"
"Amph",6.42696417569692e-06,-0.279503210122731,0.919,0.98,0.345751391759967,"ex_5","Amph"
"Plppr5.3",6.5746293881778e-06,1.11364873262168,0.431,0.285,0.353695337195801,"ex_5","Plppr5"
"Stambpl1",6.59891918401376e-06,-0.281862232513913,0.538,0.736,0.355002055342388,"ex_5","Stambpl1"
"Hdac8",6.61610537584418e-06,-0.279347251921518,0.631,0.777,0.35592662090429,"ex_5","Hdac8"
"Rpl3-ps2",6.62374038796051e-06,0.447972410930892,0.381,0.241,0.356337361651111,"ex_5","Rpl3-ps2"
"Hspbp1",6.6658026029399e-06,-0.343422124002386,0.406,0.616,0.358600182630358,"ex_5","Hspbp1"
"Usp16.1",6.66638152027324e-06,-0.27280442349481,0.606,0.818,0.35863132664614,"ex_5","Usp16"
"Rps3a2",6.76666731876123e-06,0.875660277177259,0.388,0.257,0.364026401747398,"ex_5","Rps3a2"
"Gm5514.2",6.84317530287939e-06,-0.320087169866345,0.625,0.872,0.368142301769003,"ex_5","Gm5514"
"Abcc10.2",6.93214760356537e-06,-0.585201283034703,0.206,0.387,0.372928744629006,"ex_5","Abcc10"
"Prep.1",7.02261342973882e-06,-0.710235991717087,0.275,0.451,0.377795534679659,"ex_5","Prep"
"Bnip1",7.09129977776108e-06,-0.687498540711644,0.119,0.286,0.381490654144213,"ex_5","Bnip1"
"Zfp955b.3",7.10747859557916e-06,-0.711847616899135,0.269,0.441,0.382361026006372,"ex_5","Zfp955b"
"Meis1.4",7.12872201315986e-06,0.547709949731922,0.856,0.805,0.383503858141961,"ex_5","Meis1"
"Gclc",7.13563569189837e-06,-0.345602028772184,0.35,0.555,0.383875793317057,"ex_5","Gclc"
"Hapln1.3",7.17204995504871e-06,-1.08427360911821,0.262,0.408,0.385834771431755,"ex_5","Hapln1"
"Wdr27",7.32045321119369e-06,-0.996505810279058,0.481,0.628,0.393818421402587,"ex_5","Wdr27"
