"","RNA.Med.A1","RNA.MedL.A1","RNA.IntP.A1","RNA.IntP.A2","RNA.IntX.A1","RNA.IntX.A2","RNA.IntX.A3","RNA.Med.B1","RNA.Med.B2","RNA.Med.B3","RNA.Med.B4","RNA.Med.B5","RNA.MedL.B1","RNA.IntP.B1","RNA.IntP.B2","RNA.IntX.B1","RNA.IntX.B2"
"Mkks",131.529979015733,41.5824762927021,89.5054921431048,70.2927002012783,71.0669505690389,118.996662504034,63.5134481194485,104.945249521549,77.3114026072326,66.5284205522428,49.7647822767561,48.7352972342889,65.1143399720494,102.646562754028,41.394581189878,41.4593518618229,60.809356903249
"Pigk",79.5185093135622,88.8270524924967,66.999893646789,93.1800240422602,66.5684728446532,103.425215072742,69.8056579869664,61.546185022567,77.0340269366522,70.5919330955205,70.0061163996368,55.792857004137,93.6908554346482,91.0851279115694,56.5978231550014,76.6672246038248,54.6883934706977
"Slx4ip",15.5028615603025,72.3935472221008,9.14310372245001,37.3181698489046,42.4116610280155,4.77271602389701,43.4581913003949,8.50908547309846,23.8288812497171,23.3109266459342,34.7863507367519,19.7773797532608,40.6703562860118,10.6242147087326,24.3794325293758,5.61658795376865,24.9352698292946
"Steap2",2.42682639871603,7.50985657456753,0.181279419383773,27.4044491346048,8.08709630273809,2.1420891243122,10.3942152820372,0.122684694446407,5.28390417873242,1.40817995861351,6.3107551063137,12.4228109781014,17.6079477689739,6.19691197401194,22.8383338397419,2.74729811545119,6.84439296587266
"Tmem87a",46.0419320546936,34.6371689975985,33.5242218492704,36.3849432200209,35.6144803421252,28.445534526574,56.6123752424669,38.3414205019921,30.7018470710701,20.7611781944626,36.1676434955507,55.2245337617174,39.28466751072,10.8436524213415,24.6339000016879,40.8093218957749,16.0312419465378
"Jag1",6.22713398362619,18.7619454922295,18.5247185453241,4.03931780660611,8.93372079678371,3.9333481747967,19.4121913700048,16.6395528742719,3.98050805725882,11.5924422984352,5.67594843852514,7.75200912219262,10.8305183708187,1.18427389085166,9.56689296967569,14.5367114610039,23.5691000235779
"St6galnac5",42.2285610534983,48.7905297945913,104.336780501763,40.1157257852228,167.679739955774,36.7508156195827,56.5563413494272,58.3086725396899,96.7448556310843,192.795246948612,138.170525536721,128.098239280955,61.5883422519794,260.879058524494,198.078961802025,94.2266764740444,79.3860674753509
"Ing3",30.7131782872201,48.5063324637408,25.1418187849383,23.0000533497672,27.6604106143949,66.7711190593528,36.9481194786083,32.0837070747084,26.5755946220942,31.3362025848203,29.1728961857422,23.7570381033592,53.6692554573667,26.2848705067281,14.9917788762333,63.2341344066688,70.5899401117889
"Clip4",214.190361282595,119.064768937568,66.5199639448491,107.643891222443,76.4465276258945,44.4243959577094,115.430216475595,113.265985077887,132.363279639128,85.2069141457943,142.980670033152,133.33322716428,73.895226278844,250.84772058068,216.049037144898,92.6771010815769,144.648360085275
"Cfap69",1.27001038803044,23.4931153059691,23.076739422774,56.7793432515597,29.8701273955283,28.1890354046713,23.3003590739587,2.41903097860593,20.1035838068813,21.4171307381795,26.9780205719217,16.2837833161541,27.5269148245863,19.4533284610263,26.4711959949869,64.0285587522995,33.9973557753014
"St6galnac3",9.88904347521736,36.5292442336805,75.3755816566133,58.4702619327989,100.324928979792,52.1255468521,101.316092862656,43.2766583160685,119.503375630046,148.664871853039,107.545806416906,105.208794716776,82.8383143374589,134.14902492933,102.639579534123,204.748888578348,70.9394782633528
"Btbd3",320.421851127305,34.3098360440513,57.2853296309124,166.779373788441,49.6356060108566,72.0400882767504,148.237504398619,249.701466008062,150.364687707619,224.966635480038,153.753470393338,169.77266386424,66.0646569089724,97.6562635132246,341.324500892706,21.3314178518737,57.215471957843
"Tspan12",17.6757259092666,68.1117065357491,13.9758078517318,19.5825553646893,21.726265092723,89.5510711912924,91.5226298920831,6.62282523633215,49.9242226277551,98.4385928513734,84.6749386314203,51.8872474669219,94.4372685497549,33.2959916323325,86.6214145163872,58.8146084894506,79.5418454053482
"Sestd1",61.5507927097537,145.75280044514,167.766891980912,146.980529837642,58.1265530104529,137.489789190016,125.581859392611,143.382227000156,71.4226442635267,161.111728995786,91.9456483344749,79.6740293758445,100.851994783595,98.5985332608829,104.62888303982,98.5648687875961,140.485247823954
"Pif1",0.047874634333543,0.0594728045138431,0.236562370260325,0.16145740290885,0.0396453014172799,0.0738830944840655,0,0,0.095964132445857,0.0756236016723403,3.84803474235061,0.256019923545619,0.0803394179730526,0.1656268337996,0,0,0.332379735871119
"Fam183b",0.13987066077889,0,0,0.582748673647188,1.2559911943599,0,0,2.61420334020495,0,4.1734485205125,0,0.763873869583319,0.378238235071625,0,0,6.34051749190263,3.34108911486531
"Alk",2.09115286584338,1.84260832241288,1.17053227145767,6.79444861237314,3.89877066008804,2.60458724746247,11.4880340139087,1.88935912938331,4.09199911197839,6.10528322776521,14.9927872618699,2.94011478286359,8.54190140870607,19.7227378925388,13.5681271421217,30.0674819936029,51.6837621907661
"Gtpbp10",10.0697652625297,42.4252287619593,65.483848062281,18.1080790090451,13.5091774545328,17.8040076031062,48.5264198189846,38.5264540287429,23.2165830863134,24.6840707675118,16.8744646747013,27.6812230359946,37.9895804804781,50.5226575555936,6.08811241720578,23.7509650329521,26.5133600470507
"Sptlc3",15.2070858878426,9.31886223440547,58.0775113141878,15.1999218992671,200.226002993296,98.5594801661057,127.276440032968,17.5539228398434,29.7231820157708,70.8387575713494,19.9159981034532,35.4366130229158,8.41105960655056,42.2548345381542,38.0995331424654,134.212654790957,80.4799253953474
"Tbc1d8b",65.9675120977507,86.5860725910847,39.5460813374668,111.903499777538,117.897720940059,100.503115010963,64.7600375983896,85.690636901204,72.2490122055626,119.937729938691,85.5295768243473,100.80563542015,58.1231946605869,36.7158637242625,73.7925229839643,78.202881717087,131.74642060112
"Ism1",1.61441279859341,1.51399495965635,0,1.90494133474476,16.3467498406035,13.0889744174412,2.76785161305715,1.22080852792754,0.730303734658939,1.04364896631161,0.290371791820845,4.78194885582595,1.96461645520797,0.70354237101518,0.647701828186732,12.8860804736758,5.39011305256037
"Ebna1bp2",26.5353341678304,44.4660437884305,61.5717704345972,18.59539672419,41.7183263012963,9.8601279253083,28.4670571284183,53.3104246960179,18.0105813813563,18.8501849309437,11.1398220082946,22.360133893887,24.4598132947713,1.70262542479307,46.1990182243767,27.5858622104941,24.0363086824793
"Ypel5",206.255481681443,154.635254787159,173.677292637286,78.2857861405084,118.791177482468,56.8616710218696,94.980810082439,166.429092436867,86.7611778402322,32.1230081997828,62.5887753483101,43.252414277826,99.5041359803269,55.6864203098437,78.8911370315541,88.0324183181781,111.050745860725
"Ablim1",55.4078816322325,287.250964052988,515.068558421488,601.252011191684,319.001649278812,246.543725857055,310.320514918795,184.28278249693,511.733319390197,393.535093513445,413.486239586037,514.4255142163,391.94814679173,383.684569501203,516.559906483028,425.963410514685,341.678989848487
"Capn3",0.40177958401154,0.518714882489027,1.12527423488682,0.617861618360518,0.386359060615643,0.0550397232690778,0.201843719113001,0.738725161283717,1.11604942893654,0.496700196060253,0.34359529974377,0.756221102085443,0.43741153203882,0.989149994279677,0.732027210851431,0.0828042144032963,0.207277944082473
"Lbh",95.2001806198521,34.3426714001338,61.8186693963202,32.5741178308277,11.1639671658787,28.1544727372509,0.840508800225676,19.9239382575988,5.72721774647906,7.85127525431903,5.44194213825685,9.01316373738007,37.5021577365597,35.7896100074451,86.7425727453994,25.1950786989725,13.7141734799474
"Lclat1",105.687611342683,102.182563564202,177.747003207672,73.6623643060193,79.0264070346801,49.226757354571,115.554268480246,86.058023874048,76.6748744149435,121.85993716221,127.738982447623,85.2106698399684,95.607166911352,183.431315035822,93.644202969827,91.3102261031827,86.8142910852376
"Tasp1",36.3330559843996,92.4004290691228,83.2865306868784,65.854835524129,90.8988615264891,27.8568175008575,69.4684234444531,60.1441003508094,57.7386808764444,71.7492530596121,82.8287401467475,57.9469559067048,49.8447651311761,28.9876132166288,56.5778940072466,91.1366523853283,54.5755867466528
"Actl6a",19.5613491733813,13.5659215115327,37.3892945146596,15.9175263771359,11.8416683534314,4.27009606685521,35.1065578222663,38.1915779066002,64.9271931989521,39.7525039422515,40.022637389078,41.002475431039,20.3761579875754,13.0426976955417,41.2620292125433,17.0834746636263,8.544193077545
"Cdk14",19.9530119267377,400.848299153933,501.379725040642,404.189706405713,268.208523357996,249.967522114841,179.097245302438,46.3069714774483,69.4928536025293,125.780111836655,137.98804138904,85.6474233131163,275.320031566392,210.667061740833,283.408374637212,183.437176417669,167.579792659128
"Fzd1",0,1.60893700146836,0,0,6.925661767854,0,0,0.283900566665531,1.18533971836328,0,0,0.0354576080893271,2.51638006670796,0,0,0,0
"Vma21",154.431515595452,46.5280520496226,108.424000299829,57.1040480551673,27.0478661432117,17.5762616561435,63.165132761243,74.7802819686584,43.0702914335648,47.8559107840107,45.8996870835655,43.0637969342944,34.8943441105254,35.8086082297184,53.0477537266679,51.2490737953328,28.569336389355
"Kcnd2",238.846952375074,3770.29425077859,357.212517713534,1771.89361057003,3621.16484795835,3168.95099871071,4098.80326370716,514.46825103517,2870.99298416243,3314.29301772328,4912.54458699801,3402.23962876165,4958.65297790375,1089.00383546605,959.149465103728,4203.77516521144,4918.48073419697
"Gpr50",1.96795199282785,0.486296989657121,0.769190035601661,0.456791498750664,0.408819667583381,0.483737703845037,0.723288675297979,1.30370682650698,0.353689268251347,0.194021779646615,0.608775183628292,0.691111267429599,0.715525440307004,0.727672319645928,0.750719732277632,0.296382973614346,0.847233006380806
"Itpkb",2.69384921264296,5.11353327585652,6.61056690976816,6.52066203041383,10.0812752742875,2.840771882826,12.9267420113259,24.9266790165744,12.0714060661895,11.4796899500779,20.9732054856238,15.3896221604313,18.6740561163072,16.6527168150743,8.86269903559234,1.04200310193188,9.17832132169227
"Hmgb3",237.423608896834,49.0606815458709,138.05239218157,94.1528381029395,138.264123689725,239.616043385103,75.922440416488,142.246535010503,59.9670085317125,83.3930717788553,34.3502701012524,56.7665479840009,62.0602963414899,88.7437996643039,110.600202315671,59.0506330904971,63.2083553381041
"Psen2",39.0794808271619,59.3984832792184,104.851398416153,93.3034699602185,33.2203513634218,110.617236972768,41.1765496321433,90.6367764197093,28.2453208033677,44.140635847533,26.9784493588269,67.5227829044136,83.6854550769987,74.3866817108717,61.6471961081176,39.0681343974354,51.7221886664163
"Ndufb5",518.883762628703,167.992887490008,144.575644845067,147.638519643069,169.684985566863,213.00592221421,170.708161651631,412.540944694409,179.188077639828,77.4067328790125,71.8215420704126,52.86872641926,150.555283843846,137.480336773886,168.567572549336,97.0394848321961,115.839504304323
"Galnt14",5.23072117596491,79.9894044963289,60.0731703023332,32.827087800367,7.91202714558513,5.36258847284542,1.52291981079308,2.44333595905181,2.43807462643104,1.22472683302781,4.26221417974969,2.29627564643934,40.0587530397868,4.45195347350851,31.2544797387395,5.81588428103338,0.899031925974005
"Zfp106",12.0032967533034,14.3800814688127,9.71398889282964,14.004582893423,27.4086331697097,14.8593812679769,21.7611961870027,37.9808088314265,25.2135454902616,23.6091581796058,19.1344364508012,17.6943181170681,16.316363658515,1.14824626136483,29.4951875420275,19.2855665400379,19.994775962281
"Coq8a",105.435078001725,35.2806717234495,51.4979275084938,44.1025598127518,35.9384755343294,11.1360934985033,50.0267089286306,118.182630899058,41.4701697355102,35.9708393031479,14.4932068239808,46.4255235393651,62.6175554967413,78.8781789277205,39.7131587351802,25.9004436439524,60.0013116402072
"Mtmr1",13.7507932987022,80.7301139715494,188.155560803295,91.1165375333362,102.859137076954,109.115946129145,85.3468544781819,10.521803257097,85.8892125849258,81.3687041284208,81.2620368121059,119.201808571371,94.1178232715062,105.448616496073,63.0550213210753,122.484801692464,89.1891997348821
"Ehd3",560.455043517268,255.133755193776,165.5178206924,156.800606470487,151.940429604069,233.848877560785,127.328303817413,330.774411374297,239.434795860161,109.666592440724,64.3864781858713,83.7841230513486,224.747931803769,115.949674363224,214.989503093487,106.943271845299,131.683473818394
"Trub1",3.66320252231903,22.7145099850881,59.641326408762,15.4498834884693,32.4894245684108,39.7163751060291,30.511434249476,8.97988080740861,29.5417818802002,43.59155475035,21.2085664504036,21.610642975239,53.8551065262375,22.5982888953951,20.401219229434,23.2097310283883,23.3673286300937
"Pno1",7.28375904198097,7.48117649011805,1.11338254756564,9.74219486567914,4.41777801336935,22.1869995780713,19.0866813637402,2.35162663827509,29.9905035684488,3.44069213617947,6.99970225765811,10.1264743513536,5.43792349994064,8.61110451813797,3.62785223741546,0.407992858227842,9.28911730590685
"Mtm1",22.5481370656528,110.879170782186,99.2918662671771,104.052143081051,93.5777934042578,76.4682530406339,59.6948886272216,44.0309091141188,66.3662440429525,65.035406365462,62.3761350790286,102.062826483179,64.1792679454438,69.9105199400067,74.8927615854432,72.1807343881674,64.7586470386394
"Snap23",15.7474200278886,55.8281504610732,112.595331605182,13.8913116843961,85.1511755386696,26.2925125138322,28.6226193107198,20.7008404132652,32.3831837865631,48.4473520281603,88.8212203085087,37.3944833002809,28.8112308864733,62.1288036553664,16.7701083713685,32.1459843845741,61.0670319270961
"Mamld1",15.0726701318303,48.7907890530802,114.28683951253,74.9243008276097,72.3518724338756,23.113312109782,22.6646211852705,118.498447794798,133.681894419152,151.612669859152,183.471574716302,150.713446107034,52.0328296496205,150.784250058335,68.8067451918914,96.4273882211003,50.0702490139316
"Fshr",31.7368842837158,13.0195929088555,2.62060840779553,6.06445581465589,16.2789929960236,18.8403526372265,25.1706664665748,38.5027788334917,38.0014797471271,37.4364668696472,22.3940564213128,35.9588175750729,17.2525106095608,50.7186356772225,13.968521262359,9.07187155776579,46.2133471118996
"Nrxn1",739.185574519353,4233.1822197343,4734.90850550537,4367.88925686911,4409.35003944358,4947.51934498243,5298.40179241709,1643.59762958721,3418.67899201282,4510.64188559523,4228.47966686998,4393.87067774615,4220.17024859412,4836.96020310966,4966.1870901909,4065.33592647753,4953.50163960412
"Lsm8",14.3083491402425,26.1990375847892,15.6538386008803,8.19982078237905,9.32569435839823,5.6107552072021,12.4056791976848,15.1316253584176,13.5228994233659,7.25868292466064,15.2160814642425,10.124895267865,12.4211283347556,2.52105251404944,12.9467293644846,3.83113466545069,4.64980054201925
"Haus2",8.89222143289818,48.533427534059,68.0399280997071,58.4730278031943,33.4360121020056,22.8424928429146,32.072883071018,40.5193030132139,23.2066559867731,39.9285315668109,32.2511204551657,31.7074663849628,30.8529323237606,86.9444166034812,12.6252148369701,37.2315688294371,39.9951797496827
"Thumpd2",11.8501057746297,20.5455945814346,32.174816771576,10.0500812597732,46.5889742476731,7.65961057021415,22.259881116092,73.4327110947949,18.9306926387773,6.88086134174672,7.44157988793281,21.2139546186315,9.91029718594352,17.0184498478803,3.08660470626353,12.4925092752218,21.193050973025
"Dlx5",0,0,0,0,0,0.656674704365048,0,0.50725074020383,0.582085729586254,0,0,0,0,0,0,0,0
"Gpcpd1",29.7933619051723,186.619625052466,113.465055187774,179.645681602267,132.636143655754,108.502574849581,130.083549426248,94.6898693911368,170.718324882061,196.165218131863,187.432495254109,280.900196058748,174.835734896375,317.86504084403,247.048222839639,172.382852940934,218.239318552109
"Cttnbp2",13.5477316492385,212.850452259685,185.018759030615,136.158146259349,304.733574084636,164.791395181913,172.642447750478,63.987594389236,127.029036368015,103.496016059628,300.299106716151,175.973975968515,198.235158654412,160.674980004687,221.43397309103,346.682918980632,248.403525330518
"Plekha3",7.64442517559956,22.9464740490594,16.0370367624729,26.3765351509233,33.6173639100586,26.2740619312569,13.2188139089283,7.47299124690997,11.8155147395534,31.5860304976474,27.1037360233715,30.1010594764349,22.5994938096425,20.7829524118719,15.8670677967179,8.37672721449738,56.9281098772877
"Tmem185a",236.891176887748,111.047221313122,137.381261071665,122.016619896848,149.515012607676,97.6770732473767,83.4299201735863,163.300699062417,100.517269961228,119.022835306149,140.49323959789,141.486751676245,109.498428872618,120.413408910691,249.468187511484,120.770639100829,128.208104102651
"Ncstn",33.156967526489,24.6234304460099,24.1435984020166,17.1322413038615,19.8754661491118,44.9190328389095,18.7567206012753,32.3160035918789,61.8608656859326,33.5061319920923,9.91387862473365,20.6863744586308,47.6272277514434,0.286212458942823,19.7942989368715,30.2566611317743,17.4700555786713
"Atrnl1",72.6885957201266,892.129539199647,912.098141185887,1029.1114098337,770.926147057658,1010.03412290016,1077.81386345989,415.365334913193,981.277121983819,1262.05941584437,1274.55304869685,1328.77841207657,1070.93060543444,1269.13281944967,1127.83607610146,1273.07651387604,1347.72118987715
"Copa",171.617413683925,80.7771224170246,62.2555496485092,62.1568499537762,79.8172468616204,100.450033282715,67.4420607241894,344.444590288257,137.698750606835,76.4231257642879,36.0024645374486,60.7440702502244,66.1700180095713,62.0175563315536,63.527956513312,47.6556491636237,80.7254292900961
"Ect2",2.63306430782321,7.58795554229181,2.27387694256703,2.9573779736286,0.709871052438426,0.769391408500953,2.57871816874116,3.17456032729411,2.54049159447017,1.26188425579004,1.42130667172092,4.27855110806267,1.56435899853662,3.47906178279907,2.47397867000122,5.561286358015,5.47577522225469
"Cdc42bpa",140.518323312105,712.812916644719,446.031122576626,564.282101408786,469.339250502289,496.69112008317,549.516551567417,244.198516054127,448.810570747781,542.121792045295,445.394137524597,529.714081329514,513.750035894914,614.307183213775,600.292464656894,538.364961545934,531.363642695381
"Aff2",65.7728254860445,1434.73623447498,645.750821975183,708.588562974048,706.989903143916,525.931352707965,1022.06928449829,405.62858056878,924.442246714179,1181.30022789684,1325.92579193831,1242.84819639823,1266.83333233069,853.513140132319,454.807905573798,689.408532208355,838.387154265468
"Trmt6",64.720060402645,102.380925192813,65.7326000562742,81.0371831348965,204.113213966916,60.1912303498289,81.857929974702,64.0406641979229,100.960522957975,86.3716329098466,190.91767830656,166.02982180808,125.434459653167,106.446610501823,46.6126145871245,165.77072573036,84.3130604639005
"Nceh1",8.25641480400904,25.076807314951,25.1918054428059,78.180865167238,6.90464355235063,15.5346495888004,50.9388435708373,3.95996162458241,13.6680744578166,27.8660691218192,15.1102979787648,22.9880239963328,18.7871085174416,30.200024749018,44.4053280967747,14.391818118369,23.6550519596828
"Osbpl6",137.821525367957,279.696098369084,339.574280590936,333.060414158612,259.31018859968,128.491685378089,293.071805777497,186.596213308018,379.085368337845,380.286184161001,392.996959658256,381.07630952357,241.054835768644,447.199483833495,352.214720873569,358.824370477208,316.841430871197
"Gfra1",38.621386131163,273.726391725077,934.273809194667,819.369705312541,140.312388245516,204.156699490208,314.029673100491,38.253774194847,118.197378686306,442.287122922003,282.737722121282,181.573045185406,256.411634428151,171.945565654374,503.37487789771,331.427853838189,343.435361173854
