"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Mdh1",1.07776272598225e-55,1.7272986652448,1,0.976,1.27704105401637e-51,"Med.A1","Mdh1"
"Hint1",1.16229717018486e-55,1.81196398576589,1,0.85,1.37720591695203e-51,"Med.A1","Hint1"
"Fam19a5",1.26718685669439e-55,-2.44097649808577,0.972,0.999,1.50148970649719e-51,"Med.A1","Fam19a5"
"Hspa8",1.44768477979577e-55,1.62885806639408,1,0.986,1.71536169558001e-51,"Med.A1","Hspa8"
"Rims2",1.96241247539996e-55,-2.34302247794662,0.936,0.999,2.32526254210141e-51,"Med.A1","Rims2"
"Eml5",2.1279982897107e-55,-2.81328833240582,0.725,0.99,2.52146517347821e-51,"Med.A1","Eml5"
"Hsp90aa1",3.39892049380449e-55,1.42838556578564,1,1,4.02738089310895e-51,"Med.A1","Hsp90aa1"
"Nrxn1",3.68849263040856e-55,-1.77944923070445,0.991,1,4.37049491777111e-51,"Med.A1","Nrxn1"
"Fus",3.77342405216571e-55,-3.53224532735306,0.101,0.955,4.47113015941115e-51,"Med.A1","Fus"
"Abcc4",4.42388492074909e-55,-3.60719846308877,0.257,0.965,5.2418612425956e-51,"Med.A1","Abcc4"
"Fstl5",6.46251017693782e-55,-3.20776061500533,0.688,0.987,7.65742830865362e-51,"Med.A1","Fstl5"
"Robo2",6.97707147592861e-55,-3.46984671583339,0.606,0.989,8.2671319918278e-51,"Med.A1","Robo2"
"Tenm1",9.16102980564516e-55,-3.66471813247016,0.523,0.978,1.08549042167089e-50,"Med.A1","Tenm1"
"Tubb4b",9.22962486426081e-55,1.73585948215063,1,0.979,1.09361825016626e-50,"Med.A1","Tubb4b"
"Ntrk2",1.33919419735877e-54,-2.52661187927435,0.844,0.997,1.58681120445041e-50,"Med.A1","Ntrk2"
"Adcyap1r1",1.43999710025031e-54,-2.75923667710523,0.706,0.994,1.70625256408659e-50,"Med.A1","Adcyap1r1"
"Meis1",1.46312525649281e-54,-2.80628476573842,0.89,0.993,1.73365711641833e-50,"Med.A1","Meis1"
"Sod1",1.53070937733901e-54,1.75643829162338,1,0.91,1.813737541209e-50,"Med.A1","Sod1"
"Prdx1",1.54491260969568e-54,1.70801390462114,1,0.896,1.83056695122841e-50,"Med.A1","Prdx1"
"Aplp2",1.7549843597147e-54,1.60640308183164,1,0.971,2.07948096782595e-50,"Med.A1","Aplp2"
"Skp1a",2.01067987155539e-54,1.79413468790484,1,0.886,2.38245457980598e-50,"Med.A1","Skp1a"
"Dip2c",2.23524797464273e-54,-2.69778763748228,0.596,0.989,2.64854532515417e-50,"Med.A1","Dip2c"
"Cox6a1",2.45447927325962e-54,1.652675607501,1,0.961,2.90831249088532e-50,"Med.A1","Cox6a1"
"Adgrb1",2.66856236151225e-54,-3.07029047114195,0.541,0.985,3.16197954215586e-50,"Med.A1","Adgrb1"
"Pcdh7",3.25315749773409e-54,-2.04147390123496,0.945,0.999,3.85466631906512e-50,"Med.A1","Pcdh7"
"Ppargc1a",3.38038088861122e-54,-3.25310546555284,0.56,0.982,4.00541331491543e-50,"Med.A1","Ppargc1a"
"Lrrtm4",9.50236631763625e-54,-2.82507224687761,0.725,0.987,1.12593538497672e-49,"Med.A1","Lrrtm4"
"Rgs17",1.05312472269226e-53,-3.35873192801518,0.477,0.973,1.24784748391805e-49,"Med.A1","Rgs17"
"Lhfpl3",1.11780964831734e-53,-3.60006161695933,0.569,0.973,1.32449265229122e-49,"Med.A1","Lhfpl3"
"Arl15",1.22370111993418e-53,-2.63351785143694,0.78,0.986,1.44996345701001e-49,"Med.A1","Arl15"
"Khdrbs2",1.24290052723293e-53,-2.56590739706602,0.826,0.993,1.4727128347183e-49,"Med.A1","Khdrbs2"
"Chgb",1.59095092589039e-53,1.99328065627506,1,0.976,1.88511775208753e-49,"Med.A1","Chgb"
"Rgs7",1.71332863037258e-53,-2.04228223415844,0.872,0.999,2.03012309412847e-49,"Med.A1","Rgs7"
"Bend5",2.32534456994522e-53,-2.19224380998572,0.917,0.999,2.7553007809281e-49,"Med.A1","Bend5"
"Atp8a2",2.47757620599049e-53,-2.59520243371171,0.789,0.996,2.93568004647813e-49,"Med.A1","Atp8a2"
"Fnbp1l",2.64550187358552e-53,-2.7678342643906,0.532,0.986,3.13465517001148e-49,"Med.A1","Fnbp1l"
"Dock3",2.64936890045544e-53,-2.51212227586841,0.67,0.994,3.13923721014965e-49,"Med.A1","Dock3"
"Fam19a2",3.18242220685687e-53,-3.05136613702138,0.404,0.972,3.7708520729047e-49,"Med.A1","Fam19a2"
"Scn3a",3.98284774360142e-53,-3.35379087709569,0.394,0.965,4.71927629139332e-49,"Med.A1","Scn3a"
"Eno2",4.23071092044831e-53,1.49328896263232,1,0.983,5.0129693696392e-49,"Med.A1","Eno2"
"Gpx4",4.31707550419514e-53,1.79589318092104,1,0.924,5.11530276492082e-49,"Med.A1","Gpx4"
"Atrnl1",5.37843507049596e-53,-2.71073854203153,0.881,0.997,6.37290771503066e-49,"Med.A1","Atrnl1"
"Mgat4c",6.46435840951261e-53,-3.22638916815911,0.22,0.958,7.65961827943149e-49,"Med.A1","Mgat4c"
