"","RNA.Med.A1","RNA.MedL.A1","RNA.MedL.A2","RNA.IntA.A1","RNA.IntP.A1","RNA.IntP.A2","RNA.Lat.A1","RNA.Med.B1","RNA.MedL.Bgly","RNA.MedDL.B1","RNA.IntA.B1","RNA.IntA.B2","RNA.IntP.B1","RNA.Lat.B1","RNA.Lat.B2"
"Plb1",1.82297270449612,0.127363750014481,0.177462225481349,0.198255050462986,0.44638734023319,0.485099650442496,0.132722877399572,0.224415472489128,0.159486872275904,0.111981700299286,0.790310488890844,0.374159272496802,0.823303096711087,0.246419194925599,0.364579794880454
"Ppp1cb",91.1806386868383,103.026134348856,108.79928989016,128.647107915626,104.788114033461,129.240214659062,117.950915675725,86.8288602376551,61.5371254397343,98.6874621051402,106.109769932302,93.7977061408637,117.732121460983,105.70599433398,124.627171121912
"Yes1",44.3385279037226,24.1335853307438,17.0065136166616,18.1228392085676,6.90099682838436,12.8368264993694,21.3578961268438,24.4548607794544,21.8711699422143,11.4340168566936,16.1932501977684,13.5291218131774,21.1816172642059,15.4054219932442,17.6338866233391
"Prr14l",133.830335561206,93.8461448290905,63.2136633518664,92.3436812060165,65.1504804344383,120.141919986486,64.6652535999237,116.339682551165,126.525524394563,83.5860599092029,104.672878574818,101.350692910816,84.7416413879067,125.106661931936,111.610398838974
"Ywhah",222.145034111716,280.983209714136,323.681752038686,313.333885530067,354.998906904666,345.88876453173,267.378825529182,117.298659577477,138.497119535629,234.181022880713,191.072822180992,253.513942527216,193.298373069226,140.137656700897,183.990363605046
"Slc5a1",0.254377282638448,1.24253447766074,0.253558488456042,0.120480469039284,0.173050449125195,0.280528889406427,0.283091676633771,0.509887244243079,0.389580101895186,0.261402255843903,0.32949423262579,0.25447733603399,0.301646598982031,0.216842732777376,0.295831873511382
"Spon2",0.0227442399302607,0.0742913746285369,0.0271714060387918,0.0286935520710742,0.0410650857059391,0.0172909856651801,0.00370219367488652,0.0249649623886523,0.0427035641263808,0,1.43658186542198,0.0207520248329756,0.269611993202664,0.0498891039338772,0.0116300732807428
"Ctbp1",43.3268346214597,43.7442902854711,65.1170437948917,32.5415699581413,60.6803104931915,61.9246009022295,35.855530024268,44.0196693518809,18.3485563096444,30.1604469499623,30.9000044047287,33.792348015577,30.6687551975674,40.0512366941653,27.3151037797776
"Maea",71.605300837843,78.9005605050462,70.8896778719394,79.8025396327591,57.0958574750783,77.9582853078924,60.0071389316775,71.8793421104751,85.0844209230484,45.8074380244727,74.4692055743735,64.3663691958859,61.9420712368733,67.3196135414181,64.3797628252109
"Nkx1-1",0,0,0,0,0,0,0,0,0,0,0,0,0.00305680631918653,0,0
"Fam53a",11.7768017004087,11.7424657021116,12.8510402306806,10.4365913406887,7.26982533624323,7.11871812843478,24.7313037823749,12.7825432951907,5.2087567203975,21.0821836304789,9.49948753738041,8.61237549158145,13.5476080127485,11.4734534061253,13.9479501648997
"Tmem129",35.0336425011759,45.6682737689009,33.6267371669852,32.0882829588438,47.2486201537039,42.4068544608963,45.950938902609,26.3171910569782,28.3607548039923,33.9698748465355,34.9836347684288,56.0775330950734,31.5683577406381,44.7840597887166,20.5499642626421
"Tacc3",9.72219022851935,4.50593369553876,12.2573503921553,8.09074776618602,2.68946300059703,17.4734109578416,6.1970418976603,15.1808546445165,9.76329321664548,5.568103205128,7.09375234876279,12.9260643971539,6.44863797683729,10.849398518419,13.145625055628
"Fgfr3",1.72973771801311,1.90494365296834,5.08222909626271,0.833492862072362,4.59902698940572,0.0329842040009755,0.63642257366447,2.27738280301319,0.0244230303314498,1.2555858656462,8.31249917385816,2.16591843562659,0.161918868790251,2.11312604547129,0.165798535375023
"Letm1",58.0229647334422,72.4358203325086,98.7451059660795,56.8842698622147,92.4329733771565,80.8309211597186,141.347084425199,79.3496922876114,60.7462042315052,59.9903984335074,56.4666073636683,87.0637991373725,79.6703140086479,58.1819561821067,31.671706694629
"Nelfa",40.0608911602378,42.6546337690091,34.376901592031,29.6685910773251,59.2745204956028,60.9089371969284,36.4543856515013,57.2793306986801,34.2296789957268,53.9661109681175,35.3929307403744,38.3591700987793,52.7608312696311,51.3616337555079,56.5851950557411
"Gm1673",55.0030372992733,24.4653072347957,39.6282854875419,16.3978025436134,23.6112454464533,32.5942168074526,29.7015487226659,17.3180617906326,21.5700231293066,34.41645298104,17.7545134609451,22.2360537388814,21.9085299250736,16.9396988666186,31.1144420568645
"Nat8l",41.2422556892511,60.2720916372052,102.193543714592,80.9440173052655,62.286326717383,70.3447584810431,53.2705669979797,53.1179647909189,82.3279874061736,51.3112139834307,91.9108558523763,114.319818431808,60.6569703061484,70.0307966535346,60.3169573835004
"Poln",36.0705839204177,47.0778545237125,42.507058485586,42.344392394784,37.3005741895806,37.3677752920396,68.9343904143904,72.9102344484988,39.6581955483998,49.2411868575471,53.4715479153529,64.4251806093917,57.6642514104864,71.4360837204221,58.3272276642576
"Haus3",0,0,0,0,0,0.0113365728723973,0,0,0,0,0.0159814100594886,0,0,0,0
"Mxd4",29.5647854253268,38.6850844916586,18.1270354688217,24.0672400925943,26.3814541703789,45.7033830924498,28.1490916071055,32.4549135590647,33.0445806238999,27.076944044077,24.8383972901312,21.1155998025251,23.7508732696989,30.0130716014509,15.3897918366205
"Zfyve28",119.45458394182,140.202895410326,112.697405316016,144.984497629097,228.328586432728,107.567298517679,139.457400380225,276.574648053287,281.716192477449,170.891492445995,287.762510702273,279.793512765858,294.038183094088,271.557066769606,161.097323478401
"Cfap99",0.566745849009372,3.97947962966456,5.03792920168364,3.87728960642251,4.339059801179,5.52017837713722,4.04910374747587,13.4881429134176,9.39851385519549,8.29744066950947,13.5007562368506,13.4558584187618,12.2338318164693,13.9449024157271,6.1157710458827
"Rnf4",105.836511748338,64.4762083958252,60.0434316124855,55.4485527381565,52.0870431662643,77.3770333802419,41.609211859299,43.9601981435862,54.0885958342984,63.9140164558587,55.6936391883988,55.2953898726246,51.7373818068266,47.403512881709,35.2851762532782
"Tnip2",5.58841052060241,15.6428484431638,17.2221549264432,7.97527535735901,12.8223270983255,27.0339183411706,13.8181359809175,17.0835344826148,6.71540156264926,14.1025847725226,13.0636140898886,9.02801261637059,11.8112185864208,7.4092849751304,18.8678115763704
"Sh3bp2",0,0.111653361687237,0.965969823831362,0.038954853387795,0.00842366024210947,4.72669407217377,0.340630946979993,0.0559199153884818,3.51423190808032,0.0949537315835815,0.0528470254710581,0.0190472849243789,0.0608311794039868,0.0489189796008968,0.0529974822656809
"Add1",288.13980573924,227.67216530603,230.073018933686,206.697124740647,272.963633393282,266.057367669359,211.276128784346,220.309360193792,306.322421146727,238.117403319491,263.065463086441,267.301360388078,294.13662856609,283.170266229294,263.754091469087
"Nop14",26.5368305287801,32.5470067124015,34.6240069564922,24.9764046516799,22.2508670755655,24.3548524102995,29.5662265352296,37.218511064708,31.9235660680111,31.5216347454158,33.2006561544024,38.323278110219,32.8018416921933,31.8740577277677,26.7306192912816
"Grk4",8.74388103020987,6.72259170055173,8.30131926917727,5.72040252142639,11.9348480088115,32.1426896115885,21.6417896556937,6.17692279664957,1.6279740268543,8.50765185248322,6.20921478847044,7.27238109123165,6.6144709437066,4.1881194951971,17.1897159727826
"Htt",340.009238833269,290.377496628601,235.326229776917,304.567101777884,224.533591594154,316.790776513859,264.445566316134,276.992720920075,262.84899975581,262.900826470904,296.930630545851,228.587110770381,290.142676241711,243.404695331569,279.405142565113
"Msantd1",6.49310221964072,3.63031523370307,4.417469080914,2.5629717967518,28.9300184227437,4.29420534708498,11.5956172870058,15.3897310153402,2.3761853967446,4.08126311798387,6.77447031951508,4.71799118700335,16.6561896580742,5.15101460750474,11.7714731666626
"Hgfac",0.0756157675510813,0.00772136472643622,0.0063545553112695,0,0.021847789571524,0.00893365084719598,0.0251013551386628,0,0,0.00575023513286482,0.0249468401697755,0.00683833167354659,0,0.0116224756562108,0
"Dok7",8.56099920113688,25.6550946716356,10.0414105331715,12.4432982901321,9.06576645648031,21.4022278978817,14.6761651597265,11.2606093674933,10.8751827222571,10.5784314190593,14.3584126906495,13.1914297805646,23.5582761559477,19.2310107359678,8.73137400793954
"Lrpap1",64.7482649449463,71.3072311094052,136.528930500907,106.344239535859,118.83157838184,222.422468616555,103.892613719146,47.5029518721478,71.9367019124515,81.6279828632386,61.2052655138747,73.7966391672557,33.6682850244419,47.1968915635171,39.2267678161034
"Adra2c",0,0.533314783460021,0,0.435082018743305,2.31208727435834,0.918021931838944,0.00665763527372821,1.03844003548215,0,0.571000345881636,0.314687368588886,1.53709439513918,0.289707401845025,0.474419906216486,0
"Cpz",0,0.00975642290015187,0.0138499781447345,0.0630695730719633,0.0554874732619909,0.00905580549578724,0.0173626244977221,0,0,0.031657962047364,0.00921205458595304,0,0.00598439346783824,0.0205095344076198,0
"Trmt44",21.2555553820401,29.164421586749,10.2874388060919,13.8713949202212,32.5920043106799,17.8792024696793,15.2891837738594,31.4416770958478,15.7863781357226,16.7876482489562,27.7815826063709,22.3372219064583,16.6753261880043,19.1387358265901,22.0298060055022
"Acox3",18.0040559399032,19.3956343377122,13.3524868121608,22.8096490449577,63.3052433083495,16.9943225420532,30.166656271994,30.2159585527668,19.0967577773545,13.5742811223722,24.4499467156673,21.7104842909823,16.4418620241283,24.1935797480445,20.8255400736879
"Htra3",0,0,0.0785290927409991,0.0456094211962314,0.0069737412768347,0.0142102052215639,0.876570498946416,0.0436845450015449,0.0731234324742517,0,0.619348876820739,0.0275734012216996,0.00459995684136493,0.279705172440273,0
"Sh3tc1",0.0187549939860236,0.00885053623755444,0.0282745945317126,0.0586524474201538,0.02961211488665,0.0484292114316611,0.010723809644529,0.031225288632958,0.136620804803785,0.107516339349292,0.0429657702507685,0.01275033850913,0.0332797482647581,0.064786153071668,0
"Ablim2",323.540457749658,219.943976760589,208.372300912552,294.105236063023,259.212631079928,232.269955597027,309.836059771169,294.629626251451,278.180031881893,280.25340297658,326.502438333105,313.538020760029,281.103360271189,304.160210013761,418.327242122345
"Afap1",64.2119450894963,51.69848078759,42.1398603676674,114.238043769208,70.9851055650155,60.0878017699729,129.289859110675,85.4966591024099,82.3553854614935,82.8630104951492,154.369062003439,126.396859153017,135.338302861645,167.028763468397,178.872714300517
"Sorcs2",40.9824941131105,188.901114244812,111.212373524654,80.8877154651617,31.1918384744764,29.0506606547454,132.228683440256,26.3043682992111,83.6829455312755,84.8071687491947,43.3227259759229,41.2478303792304,17.8308344647207,57.3464035997682,33.1843226838323
"Grpel1",89.3868378405667,65.2704988446365,89.4042034470628,60.5340508300943,79.4348382199451,58.2006560680389,43.9657649467308,65.3239337174422,51.1889928445801,56.295448307054,45.6980639776718,61.2253368687759,47.3037354198826,51.446183879273,44.1302886780207
"Tada2b",2.65730258113982,3.48523082383146,8.54868444145777,3.68770621401594,3.79839230591771,3.34132053610876,7.23038542805986,1.91069671472815,2.82007849516966,0.361590902629408,3.31541218733662,4.71663325698357,0.635151866037589,4.38361589510368,5.86430547337831
"Tbc1d14",28.7688035210846,61.0316422137904,60.2752637799732,43.088298689177,32.6155416906998,40.417212444848,92.5190060870274,39.1484660420342,38.7699792272299,75.4616571434993,53.6265294844968,33.4831191177152,43.3038826706909,60.2032752193772,57.3522948114993
"D5Ertd579e",162.383382294958,93.5588237400006,89.9668556954751,107.872594953068,89.1474393317276,112.59280285416,109.41840443413,103.043069100744,104.553054345133,110.717720916557,88.9878130219361,74.3745414484978,101.377538187973,95.6409425634138,117.033430576952
"Bloc1s4",14.7284326361106,5.60621486660976,17.5398656429406,7.67927509020804,6.63616475452406,11.5606249638403,2.91229210556666,9.87100398703672,7.1226877570114,1.62860326489048,11.2440346809658,10.9698097329081,5.18298684644057,10.0996774720058,10.872837709571
"Man2b2",3.86942576806244,16.0849552496302,6.7688342452318,14.721321193396,5.8827284373753,10.5976442729181,7.54399173352568,3.6463851213853,3.41913725937096,5.29234254883005,6.08297427629272,2.22057747712584,16.2017430139671,7.44954285233759,15.5624657580562
"Wfs1",1.14422633826345,2.95952818216845,11.6629781733695,2.45778327600777,6.31083776803393,2.77759312568506,4.53023590767788,12.8087393685275,10.1583203472249,12.6667503306795,10.0344437707783,17.5537731718889,3.90360480947042,8.23131887202946,0.447343683225088
"Crmp1",78.8594661157209,69.0660719037298,67.4688162798895,67.7890775793798,136.615545748823,85.0535543910266,107.574924251421,105.494741578323,134.994217995799,65.4686559878342,88.6834123224949,92.0498760811327,76.0666540532824,91.3776271374195,78.4980266403232
"Evc",10.9238388071508,12.6283762301338,10.2610652172494,9.13893096148133,19.9121764022575,20.5875811812049,13.8739928440384,5.43380705957185,4.23168118215784,41.3047511962338,9.98193380098441,5.41088072388565,8.3117245873583,9.81990717824596,2.56130188905283
"Evc2",7.31234641592462,3.8877859935477,23.8881233342677,10.436919611888,8.35535259246469,8.30430870364421,0.945637965339672,1.64196784174914,3.67996988433195,8.45020088498831,0.557992521764284,0.340333317418838,1.73565654320852,6.48203315382951,15.856824676724
"Stk32b",6.73015999733809,6.12369616235992,5.73633408434418,6.16782492010597,7.21665770183871,20.0576318282858,9.2278057726128,10.1737034447546,8.87805439994763,9.46208613929891,5.80694809581978,5.49352014509221,6.69583988068081,14.6828183143802,6.63410325493369
"Cytl1",0,0,0.0126238344552267,0.0123387679433314,0,0,0.00423104456599436,0,0,0,0.00110550497256137,0.0250369545449083,0,0.0838631316791219,0
"Msx1",0.0975949672227303,0.0121378643883992,0.00445088853978097,0,0,0,0.0037676702604916,0,0,0,0.0014165485737339,0,0,0,0
"Stx18",133.968525268878,193.377880461164,182.325668778263,196.295516289009,156.422310436378,157.86583413287,187.714911213529,219.149695475834,227.848290606951,233.004584299829,272.653473306697,276.240050933277,248.97395818168,230.570550234532,274.189867120581
"Nsg1",214.098900825553,366.597050609754,679.902328062156,324.19499709427,452.986767195923,416.669530125181,307.85801543135,164.944326653772,177.716556360023,270.024802390123,225.357159772047,299.237548793677,176.861898033314,162.110884823262,233.312840462864
"Zbtb49",54.5760922604494,27.5383700993941,24.2963675249114,13.0269650158999,30.8356655698283,22.8576132757202,39.8693751366845,34.0142739730389,30.0863419898997,40.4882645409717,30.0306751477363,28.2605921856818,18.7441246247769,24.1816185782888,35.9062622011764
"Lyar",1.67153032895288,6.83467541273759,12.126572951063,6.41197159734363,20.8846640747163,10.2967752760692,12.6291309243534,8.51361884471979,13.4576776615469,25.9231619589892,15.6039616242504,8.87775429582238,18.3282161694163,7.27339216663421,14.5832177325046
"Tmem128",53.5264566798894,56.1979833758822,71.7011295397739,43.9686327390879,33.5593861694573,45.2741875409001,73.450376512266,45.3797056944676,90.9065215576113,73.8366893676291,63.5861670777926,70.1904623027112,62.924699660751,58.6710773641294,67.903510677433
"Otop1",0.0508747905933835,0.0365695965976349,0.0256395326637703,0.0270017912988348,0,0.00513322990217296,0.0282590839560396,0.145361716354697,0.0111392622546811,0.0197950842925389,0.00706705805748976,0.0116836406598172,0.173500584812638,0.00491647088050503,0.0103557739606694
"Drd5",0,1.69293236445086,0.00661611005862032,0,0,0.739454119832612,0,0.285029513520716,0.0110606303939929,0.651360191701899,0.00151190047098723,0,2.04538154758019,0,0
"Slc2a9",1.45400343867294,8.23670491213976,0.743797921063501,0.755277960650926,2.4683146209749,0.760568116190658,2.99373554796353,1.97921775997895,1.05767193571944,7.85542814824301,0.639726124821597,0.643075974054161,0.616465652929119,2.35627282864757,1.2132791533274
"Wdr1",49.9744241466774,48.1504501612288,23.0554019343713,35.9523346008772,31.08171995735,66.972049050454,72.0041712631739,42.0070873684143,31.2108328626558,15.6903239717144,12.5779563096213,16.2007423729753,29.342981614594,27.1131854649474,16.931472150905
"Zfp518b",3.89412001017095,15.0763583611079,15.7570163690709,23.4105029018555,10.6624649377178,3.21738985856861,9.47614039866627,10.7267957158005,6.72064263379549,4.32133804796554,10.5243193929727,14.4764007329905,9.02901463698038,7.92580041598216,13.154455169855
"Clnk",16.5701909069586,8.04378454289832,10.9743557140246,5.25865479363591,5.68439908882677,8.80978991965066,16.4079162755631,9.02014090246112,37.0700111180967,14.3079063001815,11.598398507711,12.4009138866196,11.4930996938161,13.9067745283239,16.3548937856548
"Hs3st1",24.379250862027,50.9346732469519,16.4274686000561,76.6060687269068,20.1297968623108,14.8581451526676,64.1712794740883,12.3171979714998,31.1096266001189,58.8947633176101,57.2370163181865,65.5532229213632,27.2703368847147,46.1417792915106,52.0673721281201
"Rab28",137.587661194782,173.597075744347,160.997055229514,239.825572505146,163.792278854369,218.475927124267,202.244260758652,174.16799244979,176.467451304307,148.976011127484,186.712741408376,223.076021662789,214.96505200545,172.026342043029,222.026055020588
"Bod1l",87.3149266496759,141.679088847919,129.049766053592,141.328805394423,152.248909908339,103.343516182,155.58229901592,100.720553547809,112.59118634747,138.263480197015,124.976459325768,122.882957734084,118.330324686612,96.995908572777,134.591993715004
"Cpeb2",124.797085186818,125.727012805348,97.2278352387616,206.022225332336,205.053995100211,171.849209643667,137.019719305017,183.509775005572,157.029954408785,113.508650932537,219.036186694812,201.379801865276,232.839734110015,200.784726156808,179.355322894766
"C1qtnf7",0.00825996761266699,0.0586766464323462,0.100096538307638,0.493725688918278,0.0525071110087377,0.0261089550848725,1.23416629686648,0.163301715788956,0.0543541945324986,0.0816167222586944,0.0764744076216866,0.0249638466713152,0.104136009206757,0.0385023947632692,0.0612611738091393
"Cc2d2a",127.935191082863,90.0434866707736,99.0860139195728,124.410562903117,98.6292940009672,86.6538045902505,105.811406551093,117.353941919988,130.007814263961,119.845199653496,111.873074044825,86.6848572668586,111.509484261759,109.537624916368,101.661214389177
"Fbxl5",141.354156719769,123.390006726365,132.066562864657,196.086666572091,146.098266810495,168.682944545521,127.465790105357,115.360311052947,90.8536219391237,133.985561593682,120.578989001181,120.405738261507,123.434109293274,114.214634721255,127.996016808574
"Bst1",0.116680331438498,0.0725066939255683,0.0957804512403427,2.96854727909349,0.99689445001593,2.92410694211328,0.185652537218766,0.171069421140364,0.181724255773657,0.0677768000627938,0.102719153108434,0.110602784756397,0.120337222594204,0.0899430347523659,0.0532494625025236
"Cd38",0.100238130861181,0.0772276625598816,0.111827541778931,0.206650944201014,0.168752162125383,0.0665047165436133,0.051806061116731,0.109734270875771,3.47518800791247,0.375875680408078,1.41094779557753,0.0436367910925854,0.119476014667691,0.148814413498722,0.0639210918329164
"Prom1",0.296113338835206,0.32771864181439,0.511899355641412,0.345277524052554,0.203046613333891,2.53096555815267,0.491770916923096,0.740112102705542,0.547362963600251,1.80669099982531,0.508503545366711,3.47186986864156,11.5329285317748,1.09742445994595,0.373580402565222
"Tapt1",64.9807164608274,45.9271417267675,68.299434458729,53.5315933516837,57.4909560009672,77.8037215467383,58.3296488013334,50.7236481179864,68.9805680756396,53.8268356252521,52.4483028877112,60.8470338257915,62.5550831247685,64.5288607076267,77.5948440599697
"Ldb2",6.60255312242633,4.67969782632262,6.96856300628045,4.19738622661269,6.70323272976368,169.553181145978,41.2367823927431,18.7272582710166,123.550480716049,8.33592787258765,5.19087177186782,9.95379073356303,26.3722016121908,43.8977292058324,16.2470448883052
"Qdpr",7.40622819617519,13.4724361216409,29.5128236265011,22.2838128967299,11.5348744696311,16.2948621518948,11.3354796106451,10.264954491088,14.8701291112454,15.5454932158795,9.16352048191124,11.2828799337483,7.84727017236458,11.4068788065737,7.36986070412473
"Clrn2",0,0.00326933599406717,0,0.00675628746868123,0,0.00287784757261615,0.0179019604150419,0.0196897679913243,0,0,0.00181646443362639,0,0,0.00730411684332063,0
"Lap3",7.60830643676274,12.2882616816387,31.8947616964685,13.2903680396729,22.0808454648465,14.483649128219,3.6869471488076,5.57610993395339,13.5969232854406,33.0060057681112,11.6257336536353,13.0241731191925,11.4242072997332,12.9600519866053,32.3967890740941
"Med28",48.5877386979392,37.4718310505496,62.4737118084418,31.2491981948191,72.2390184943655,45.4456753027765,38.963685982516,31.7771571223485,21.3928295453929,61.7954459584899,39.1417205084244,54.8975374971116,46.3181193460132,38.5293864702608,63.6948925322972
"Fam184b",15.361429003167,18.0303186772653,12.0208848208512,15.0728390164846,21.871731469519,20.9774471623933,22.8646463217205,38.6138854503314,129.369419118585,39.0309104735192,38.8433132652163,34.3941974696778,58.4601079634859,35.72789553119,16.9410460363399
"Ncapg",1.09624020683054,1.43734680204077,1.32073752550424,1.86086945772233,1.73449801711964,1.05963339662208,4.34427378291633,4.18286247727233,4.66290287444694,0.143186767566618,6.36238654502445,0.955922085935601,2.63493643470841,5.24380396618723,0.267423266352399
"Lcorl",147.172967696004,82.0828658731844,98.9710372321761,101.811949100031,78.8013978141643,112.442478655862,67.5669258370521,111.048528283295,125.836801839368,120.429162317637,106.472938078398,83.027754076094,102.536795480833,95.5643821025139,98.675391925416
"Slit2",700.485198495747,517.256677302488,550.529161049222,378.854162315512,433.008359645166,276.723761393011,568.78141857459,1284.72931883378,1741.73820781904,920.704597922325,1622.30471765856,1214.95273793397,663.23267717503,799.109511074385,447.297788905557
"Mir218-1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5730480H06Rik",14.5554331381386,5.86398836679176,11.1270715262661,10.6753332227689,7.90221355992894,5.74790019906693,12.2632923087718,9.00557053014193,13.5573600932037,11.1484821838029,12.3403219300411,15.1260676976048,20.3546056311161,16.162836001989,8.57990032492493
"Kcnip4",12354.640123812,5414.41921451047,4441.33014970444,4991.83633169858,3736.68779276415,3757.68263703861,5921.55633885106,17251.0513734232,13742.7860215561,9769.23073432887,11418.1691341741,11359.7331223946,15676.2650414483,12886.6909725554,9600.13599533837
"Adgra3",48.0699342093915,11.4943982881407,29.1749791940444,31.8032021915442,10.4001092940482,48.2410268272026,55.5054478458183,106.68104625093,226.700652020637,16.9280002998948,37.917189755599,40.0533823020146,54.60863394247,51.2956127508044,25.5200714373795
"Ppargc1a",506.05102006298,459.541128734064,355.575225576254,351.956167678412,324.952890513554,253.327608734822,492.285750068645,757.375372820104,720.066966795914,533.229625915784,605.857038630716,579.371379482937,690.814207644986,694.299134789855,519.083529092751
"Dhx15",17.6264812065374,50.327758835803,54.3913461330074,63.9419013426912,34.6274945591101,46.6607835129194,64.7959712116152,31.0105328486112,55.3179998046548,49.3720293213731,50.6739047606811,46.7531452254078,66.8939622611455,46.8799106603605,55.8128907826617
"Sod3",3.17389654493591,0.0303656129620171,0.97258314217227,0.0247983720442661,0.255571337311066,0.287537752315953,0.508168464996331,0.0505698216895047,2.55388533696531,0.0724475721770123,0.409534313445764,1.72734690955455,0.0453454153672634,0.0225852701552361,0.115894816984512
"Ccdc149",38.013342411287,76.9404174919963,89.7544638541907,62.6705583862361,49.8837404073692,42.2156678813637,79.9872028407729,56.7813551764207,65.8778071005334,34.5618936869202,58.2423776053524,59.8197474961548,59.3168582036515,71.3867273602162,67.8455064041744
"Lgi2",70.5094175304466,123.037134786843,90.604058062588,102.543158728935,77.1900303004911,70.7144990077713,118.117156548013,99.5983505932868,120.744438709381,173.905303500803,179.971978266806,193.694961004631,147.148655281826,163.17150595151,128.614963028141
"Sepsecs",48.3853406510979,54.843186799487,28.3514724252773,47.2877856618675,31.0762794512139,42.3312504809755,53.4083445278028,46.5804873321268,50.4246111681601,43.1736461013352,51.1630558077921,46.98951822603,53.9004673681851,40.8383180646877,52.694360063281
"Pi4k2b",0.110074078814794,0.136107784104775,3.17667038000165,0.189001010737523,5.40978065523013,2.61396299287777,1.74529091464434,0.296035293529589,0.329197656601016,0.307969596446141,0.190230359830455,0.373024829646456,0.294584130006973,0.758713833538835,0.503354379189045
"Zcchc4",30.74261399811,31.4094897916609,33.1856446138911,41.3659823208789,55.3073858140068,23.0705473112957,32.5477328139882,39.2774534098474,39.7015587419488,34.9287696048522,44.6159102803507,39.7046744196133,33.2786029157093,49.7098791088995,33.3777063462694
